accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20201,1,49.98,0,0,0,PCIU8473967,C000001085438,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20201,1,51.51,0,0,0,PCIU8473967,C000001085405,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20201,1,50.63,0,0,0,PCIU8473967,C000001085448,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20225,1,47.68,0,0,0,PCIU8473967,C000001085181,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20226,1,48.12,0,0,0,PCIU8473967,C000001085174,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20227,1,40.46,58,0,0,PCIU8473967,C000001085206,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,53.37,0,0,0,PCIU8473967,C000001085626,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,48.67,0,0,0,PCIU8473967,C000001085620,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,52.82,0,0,0,PCIU8473967,C000001085625,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,52.06,0,0,0,PCIU8473967,C000001085621,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,52.38,0,0,0,PCIU8473967,C000001085642,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,49.76,0,0,0,PCIU8473967,C000001085623,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,49.54,0,0,0,PCIU8473967,C000001085619,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,49.65,0,0,0,PCIU8473967,C000001085637,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20202,1,49.32,0,0,0,PCIU8473967,C000001085640,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56CRE,NOTION CREAM PUFF,170-20203,1,49.1,0,0,0,PCIU8473967,C000001085519,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20203,1,49.98,0,0,0,PCIU8473967,C000001085639,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20203,1,51.29,0,0,0,PCIU8473967,C000001085636,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20203,1,46.92,0,0,0,PCIU8473967,C000001085354,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20203,1,46.04,0,0,0,PCIU8473967,C000001085346,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20203,1,44.84,0,0,0,PCIU8473967,C000001085352,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20203,1,47.68,0,0,0,PCIU8473967,C000001085338,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,51.29,0,0,0,PCIU8473967,C000001085641,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,53.81,0,0,0,PCIU8473967,C000001085633,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,51.73,0,0,0,PCIU8473967,C000001085643,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,50.74,0,0,0,PCIU8473967,C000001085632,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,47.24,0,0,0,PCIU8473967,C000001085628,4
